No.,StatusOrtu,Penghasilan,Status_Rumah,JMotor,Jmobil,DayaLis,KIPK
1,1,4000000,1,1,0,2,0
2,1,2500000,0,1,0,3,0
3,1,6000000,1,2,0,2,0
4,1,5440500,1,2,0,2,0
5,1,10000000,0,1,1,3,0
6,1,1000000,0,1,0,3,1
7,1,20000000,1,2,1,3,0
8,1,15000000,1,1,0,3,0
9,4,4000000,1,1,1,3,0
10,1,0,1,2,0,1,0
11,1,0,1,4,0,3,0
12,1,8000000,1,2,1,3,0
13,1,500000,1,1,0,2,1
14,1,6000000,1,1,1,2,0
15,1,2500000,1,1,0,1,1
16,1,6000000,1,2,1,2,0
17,1,3500000,1,2,0,1,0
18,4,4000000,0,2,0,2,1
19,1,1200000,1,1,0,2,0
20,1,2500000,1,1,0,3,0
21,1,0,0,2,0,1,0
22,1,6500000,1,2,0,2,0
23,1,5000000,0,2,0,3,1
24,1,300000,1,2,0,1,0
25,1,900000,1,2,1,1,0
26,1,2000000,0,2,0,2,1
27,1,2000000,0,1,0,3,1
28,1,6000000,1,2,0,2,1
29,2,4000000,1,1,0,3,0
30,1,3972900,1,1,0,1,0
31,1,5000000,1,4,0,2,0
32,2,5000000,1,2,0,3,0
33,1,1500000,1,2,0,1,0
34,1,4100000,1,2,0,3,1
35,1,2500000,1,3,0,3,0
36,1,14000000,1,2,1,2,0
37,1,6000000,0,1,0,3,1
38,1,1000000,1,1,0,1,0
39,1,7500000,1,3,0,2,0
40,1,6500000,0,1,0,3,0
41,1,1000000,1,1,0,2,1
42,4,4000000,1,2,0,1,0
43,1,1500000,1,2,0,2,0
44,1,4000000,1,2,1,3,0
45,1,6800000,1,2,0,3,0
46,1,6000000,1,2,1,3,0
47,1,28000000,1,3,1,3,0
48,1,3971800,0,2,0,1,1
49,1,8000000,1,2,0,3,0
50,2,2000000,1,1,0,2,1
51,1,5000000,1,2,1,3,0
52,1,5000000,1,2,1,3,0
53,1,5500000,1,1,0,2,0
54,1,15000000,1,4,1,3,0
55,1,9376759,1,2,1,1,0
56,1,10000000,1,2,1,3,0
57,1,7600000,1,2,0,2,0
58,1,9545500,1,2,0,2,0
59,1,7500000,1,2,0,3,0
60,1,15000000,1,1,1,2,0
61,1,2252000,1,2,0,3,0
62,1,500000,0,2,0,3,0
63,1,1250000,0,1,0,2,1
64,1,600000,1,1,0,2,0
65,1,9500000,1,2,2,3,0
66,1,4500000,1,2,0,3,0
67,1,2000000,1,1,1,3,0
68,1,2000000,1,2,0,2,0
69,2,300000,1,3,0,2,0
70,1,750000,0,2,0,1,1
